Player Name,Total Clubs Played For,Clubs Played For
Liam A. Vasquez,1,Dynamo Kyiv
Kacper C. Williams,7,"Atlanta United, Valencia, Galatasaray, Shakhtar Donetsk, Ajax, Inter Miami, Inter Milan"
Mateo A. Flores,2,"West Ham United, River Plate"
Romelu D. Alvarez,1,Bayern Munich
Oliver L. Schmidt,1,VfL Wolfsburg
Lorenzo T. Williams,5,"Bayern Munich, Paris Saint-Germain, Lille, Torino, Nice"
Kwan S. Alvarez,1,Inter Miami
Felix J. Diaz,5,"Barcelona, RB Leipzig, Real Sociedad, Napoli, BRAGA"
David G. Vasquez,6,"FC Porto, Newcastle United, Aston Villa, Grêmio, Paris Saint-Germain, Lyon"
Mateo S. Diaz,3,"Feyenoord, West Ham United, Real Sociedad"
Cody J. Schneider,5,"Real Madrid, Liverpool, Boca Juniors, Tottenham Hotspur, Bayer Leverkusen"
Felix R. Schneider,6,"Torino, Schalke 04, Bayer Leverkusen, Ajax, Getafe, VfL Wolfsburg"
Eden N. Bertrand,4,"Juventus, Inter Miami, BRAGA, Aston Villa"
Tiago J. Michel,2,"Fiorentina, Athletic Bilbao"
Ciro D. Martinez,1,Sporting CP
David T. De Bruyne,6,"Manchester United, Aston Villa, River Plate, Boca Juniors, Paris Saint-Germain, Al-Ittihad"
Jan B. Williams,2,"Villarreal, Chelsea"
Jan D. Schmidt,2,"Nice, Real Betis"
Noah R. De Bruyne,2,"Borussia Dortmund, Napoli"
Carlos L. Schulz,4,"Flamengo, Chelsea, Bologna, Real Betis"
Mateo E. Ramirez,1,Fluminense
Diogo R. De Bruyne,4,"River Plate, Tottenham Hotspur, Lyon, BRAGA"
Thibaut H. Fischer,2,"Lille, Corinthians"
Ethan E. Schulz,7,"Borussia Dortmund, PSV Eindhoven, Juventus, Bologna, RB Leipzig, West Ham United, Brighton & Hove Albion"
Hugo A. Laurent,2,"Olympiacos, Fenerbahce"
Nicolò M. Taylor,6,"Atalanta, São Paulo, LAFC, Manchester United, Nice, Flamengo"
Thibaut C. Gonzales,6,"LA Galaxy, Liverpool, Fiorentina, Lyon, Marseille, Real Madrid"
Mason B. Jansen,3,"LAFC, Eintracht Frankfurt, Manchester City"
Jakub G. Sanchez,3,"Chelsea, Real Betis, Manchester City"
Sven E. Santos,3,"Besiktas, Valencia, Borussia Dortmund"
Dries B. Romano,3,"Galatasaray, Olympiacos, BRAGA"
Kofi J. Bertrand,3,"Real Madrid, Boca Juniors, Real Sociedad"
Hiroshi G. Bertrand,7,"Barcelona, Ajax, Lyon, Everton, PSV Eindhoven, LAFC, Al-Nassr"
Gabriel Roberts,5,"Dynamo Kyiv, Feyenoord, Schalke 04, Newcastle United, Villarreal"
Nicolas B. Brown,7,"Al-Ittihad, Inter Milan, Brighton & Hove Albion, RB Leipzig, Aston Villa, Borussia Mönchengladbach, Valencia"
Pedri H. Romano,4,"Al-Ittihad, Corinthians, SS Lazio, Manchester City"
Kofi Meyer,6,"AS Roma, Brighton & Hove Albion, Olympiacos, Atalanta, Juventus, Borussia Mönchengladbach"
Kacper L. Jones,1,Real Sociedad
Ciro S. Taylor,2,"Paris Saint-Germain, Napoli"
Elias A. Meyer,2,"AS Roma, Borussia Dortmund"
Alessandro A. Brown,6,"LAFC, Getafe, Palmeiras, Fluminense, Atalanta, Juventus"
Bernardo H. Schneider,1,Al-Hilal
Oliver V. Wilson,3,"Inter Miami, Al-Ittihad, Shakhtar Donetsk"
Hugo D. Greco,5,"Chelsea, Manchester City, Wolverhampton, LAFC, River Plate"
Leonardo M. Meyer,7,"Chelsea, Shakhtar Donetsk, Corinthians, Rennes, Real Madrid, Ajax, Santos"
Ethan K. Ramirez,3,"Getafe, Galatasaray, AS Roma"
Elias F. Müller,4,"Feyenoord, Bayer Leverkusen, Corinthians, Al-Nassr"
Jan N. Lopez,7,"BRAGA, Brighton & Hove Albion, Al-Nassr, VfL Wolfsburg, Bayern Munich, Besiktas, Eintracht Frankfurt"
Diogo K. Santos,1,Barcelona
Tariq F. Davies,5,"Newcastle United, Lyon, Galatasaray, Palmeiras, Al-Nassr"
Lucas R. Fischer,2,"Torino, River Plate"
Pedri Evans,3,"Grêmio, Eintracht Frankfurt, Al-Ahli"
Sebastian Flores,3,"AC Milan, Al-Nassr, Fenerbahce"
Arthur G. Laurent,7,"Bologna, Benfica, Borussia Dortmund, Aston Villa, Feyenoord, São Paulo, Santos"
Xavi E. Jansen,2,"Flamengo, Dynamo Kyiv"
Axel L. Weber,4,"FC Porto, West Ham United, BRAGA, Boca Juniors"
Memphis K. Meyer,3,"Celtic, Dynamo Kyiv, Napoli"
Frenkie D. Colombo,6,"Bayer Leverkusen, SS Lazio, Atletico Madrid, Liverpool, Atalanta, Al-Hilal"
Chidi L. David,7,"Rennes, Benfica, Rangers, RB Leipzig, Bayer Leverkusen, Chelsea, Torino"
Toby M. Van Dijk,3,"São Paulo, Real Betis, Grêmio"
Ethan F. Van Dijk,1,Inter Milan
Daniel G. Martinez,1,Villarreal
Dries E. Diaz,3,"AC Milan, Arsenal, Schalke 04"
Hiroshi H. Simon,6,"Valencia, Ajax, Rennes, Feyenoord, Celtic, Napoli"
Lukas J. Moreau,2,"Aston Villa, Lyon"
Eden B. De Bruyne,5,"Arsenal, Schalke 04, Valencia, Everton, Atlanta United"
Hugo E. Smith,5,"Bologna, Shakhtar Donetsk, LAFC, FC Porto, Atletico Madrid"
Adrian J. Nieuwenhuis,2,"Sevilla, Aston Villa"
Bernardo D. Roux,1,Lyon
Hiroshi C. De Bruyne,6,"Flamengo, Valencia, Liverpool, Shakhtar Donetsk, Al-Hilal, Juventus"
Alexander S. Simon,6,"Atletico Madrid, LA Galaxy, Palmeiras, Villarreal, Wolverhampton, Feyenoord"
Axel P. Rossi,2,"São Paulo, LA Galaxy"
Kwame N. Lopez,4,"Juventus, West Ham United, Athletic Bilbao, Olympiacos"
Amir B. Wilson,2,"Feyenoord, Bayer Leverkusen"
Jakub De Bruyne,1,São Paulo
Stefan E. Visser,1,Paris Saint-Germain
Liam L. David,4,"PSV Eindhoven, Barcelona, Flamengo, Al-Ahli"
Bernardo S. Roberts,4,"Manchester United, Paris Saint-Germain, Al-Nassr, Sevilla"
Chidi K. Laurent,3,"AS Roma, Manchester City, Borussia Mönchengladbach"
Adrian F. Alvarez,5,"Fenerbahce, Atletico Madrid, Paris Saint-Germain, Valencia, Nice"
Memphis N. Visser,2,"AS Roma, Borussia Dortmund"
Tiago Fernandez,5,"Schalke 04, Tottenham Hotspur, Boca Juniors, AC Milan, Borussia Dortmund"
Kenji K. Rossi,5,"Eintracht Frankfurt, RB Leipzig, Atletico Madrid, West Ham United, Monaco"
Arthur P. Jones,7,"Celtic, Besiktas, AS Roma, Fiorentina, Liverpool, Borussia Mönchengladbach, Nice"
Cody S. Vasquez,2,"Brighton & Hove Albion, Marseille"
Federico P. Sanchez,2,"Inter Milan, Borussia Dortmund"
Lukas J. Ferrari,3,"Barcelona, Lyon, Chelsea"
Gavi S. Smith,2,"Juventus, Galatasaray"
Josko F. Schneider,6,"São Paulo, Corinthians, Monaco, Newcastle United, BRAGA, Atletico Madrid"
Louis S. Nieuwenhuis,4,"Eintracht Frankfurt, Valencia, LA Galaxy, LAFC"
Marco C. Lopez,1,Valencia
Lukas D. Schneider,6,"Al-Hilal, Bologna, Tottenham Hotspur, Getafe, Bayern Munich, VfL Wolfsburg"
Jakub A. Fischer,5,"Torino, PSV Eindhoven, Arsenal, FC Porto, Celtic"
Alessandro V. Romano,4,"Torino, Sevilla, São Paulo, Bayer Leverkusen"
Cody G. Diaz,5,"Everton, Bologna, Corinthians, Borussia Mönchengladbach, Newcastle United"
Mateo A. Torres,1,Atletico Madrid
Hiroshi L. Wilson,4,"PSV Eindhoven, FC Porto, Bayern Munich, Santos"
Mason L. De Jong,5,"Everton, Rangers, Torino, West Ham United, SS Lazio"
Lorenzo M. Santos,2,"Chelsea, Atletico Madrid"
Marco P. Romano,5,"AC Milan, Olympiacos, Dynamo Kyiv, Fenerbahce, Barcelona"
Sebastian N. Rodriguez,1,River Plate
Nathan R. Simon,7,"Fiorentina, River Plate, West Ham United, Sevilla, Everton, Juventus, Bayer Leverkusen"
Romelu H. Bakker,3,"Atlanta United, Sevilla, Sporting CP"
Stefan D. Thomas,4,"FC Porto, River Plate, Bayern Munich, Al-Hilal"
Tariq B. Roux,7,"Newcastle United, Schalke 04, Paris Saint-Germain, Monaco, Borussia Mönchengladbach, Bologna, Ajax"
Kwan D. Perez,5,"West Ham United, AC Milan, LA Galaxy, Al-Ittihad, Palmeiras"
Nathan H. Ricci,2,"FC Porto, Corinthians"
Sven M. Esposito,2,"Newcastle United, Dynamo Kyiv"
Mason B. Fischer,7,"Celtic, RB Leipzig, AC Milan, Marseille, Lille, Lyon, Real Sociedad"
Santiago T. Van Dijk,2,"Bologna, Getafe"
Ciro F. Becker,3,"Torino, Monaco, Ajax"
Luka Martinez,3,"River Plate, Rennes, Feyenoord"
Pedri H. Evans,7,"SS Lazio, Schalke 04, Marseille, West Ham United, Al-Ahli, Chelsea, AS Roma"
Alexander J. Colombo,4,"Bayern Munich, Inter Milan, Besiktas, Everton"
Felix L. Garcia,2,"Monaco, Olympiacos"
Felix L. Simon,4,"Olympiacos, Besiktas, Ajax, Arsenal"
Ethan J. Hernandez,7,"LAFC, Marseille, Rennes, AC Milan, Inter Milan, São Paulo, Inter Miami"
Lucas E. Moreau,4,"Al-Ahli, Marseille, Corinthians, Ajax"
Xavi R. Santos,7,"Corinthians, Aston Villa, Olympiacos, Juventus, Real Sociedad, Celtic, Schalke 04"
Gavi F. De Bruyne,6,"Atlanta United, River Plate, Villarreal, Fiorentina, Everton, Celtic"
Oliver V. David,1,Newcastle United
Cody R. Colombo,3,"Bayer Leverkusen, Corinthians, Inter Milan"
Elias N. Rossi,2,"Atletico Madrid, Palmeiras"
Mateo K. Marino,4,"Schalke 04, Arsenal, Juventus, AS Roma"
Youssef F. Flores,7,"Bayer Leverkusen, PSV Eindhoven, Paris Saint-Germain, Athletic Bilbao, FC Porto, Arsenal, Aston Villa"
Noah N. Silva,3,"Real Betis, SS Lazio, Eintracht Frankfurt"
Federico J. Schneider,3,"Liverpool, Corinthians, Celtic"
Samuel F. Brown,4,"Olympiacos, Bayern Munich, Getafe, Torino"
Jan F. Sanchez,4,"LAFC, Tottenham Hotspur, Al-Ittihad, Brighton & Hove Albion"
Jan J. Davies,7,"Nice, Liverpool, Marseille, Juventus, LA Galaxy, São Paulo, Borussia Dortmund"
Miklós G. De Jong,4,"Monaco, Palmeiras, Schalke 04, Inter Milan"
Kacper C. Lopez,1,Manchester City
Gavi A. De Bruyne,7,"Atletico Madrid, Aston Villa, Tottenham Hotspur, FC Porto, Schalke 04, Atlanta United, VfL Wolfsburg"
Thibaut N. Jansen,2,"Chelsea, Corinthians"
Paul F. Roux,2,"Besiktas, São Paulo"
Gabriel J. Gonzales,2,"LA Galaxy, Grêmio"
Pedri L. Bruno,4,"Torino, Dynamo Kyiv, Galatasaray, Atalanta"
Dominik K. Davies,1,Paris Saint-Germain
Lukas V. Martinez,7,"Bayer Leverkusen, Villarreal, Paris Saint-Germain, Schalke 04, Rangers, Al-Ahli, Liverpool"
Rafael N. Simon,5,"Galatasaray, Corinthians, Lyon, Atlanta United, Atalanta"
Luka H. Rojas,2,"Dynamo Kyiv, Galatasaray"
Hiroshi J. Roberts,2,"Atalanta, Inter Milan"
Marco N. Torres,5,"Benfica, Besiktas, Celtic, Liverpool, Real Madrid"
Pedri A. Schneider,2,"Corinthians, Brighton & Hove Albion"
Noah T. Wilson,7,"Galatasaray, PSV Eindhoven, Arsenal, Everton, Real Sociedad, Bayern Munich, LAFC"
Oluwaseun K. Jones,1,Atletico Madrid
Eden L. Laurent,1,Shakhtar Donetsk
Oluwaseun F. Flores,5,"Valencia, Marseille, Al-Hilal, Lille, AS Roma"
Toby F. Leroy,4,"Sevilla, AC Milan, Real Sociedad, Napoli"
Mason H. Roux,7,"Inter Miami, Lille, LAFC, Villarreal, Schalke 04, Rennes, Eintracht Frankfurt"
Toby C. Hoffmann,5,"Manchester United, Eintracht Frankfurt, Sevilla, Getafe, Borussia Mönchengladbach"
Dries Rojas,5,"Manchester City, Borussia Mönchengladbach, Liverpool, Real Sociedad, Fenerbahce"
Tiago S. Garcia,1,Palmeiras
Mateo T. Taylor,6,"AS Roma, Nice, West Ham United, SS Lazio, São Paulo, Lille"
Kwan D. Martinez,7,"Atlanta United, São Paulo, Brighton & Hove Albion, SS Lazio, Boca Juniors, Schalke 04, Al-Ittihad"
Dimitri T. Visser,4,"VfL Wolfsburg, Olympiacos, Barcelona, Dynamo Kyiv"
Luka M. Bertrand,6,"Monaco, Al-Ahli, River Plate, Manchester United, Dynamo Kyiv, Boca Juniors"
Gonçalo F. Simon,5,"Sevilla, Brighton & Hove Albion, Nice, Paris Saint-Germain, Manchester City"
Kenji Dubois,5,"Lille, Wolverhampton, Fiorentina, Torino, Dynamo Kyiv"
Nathan K. De Jong,6,"Real Betis, RB Leipzig, Bayer Leverkusen, Barcelona, SS Lazio, Lille"
Kwame J. Vasquez,2,"Aston Villa, Bayer Leverkusen"
Lorenzo J. Thomas,1,Atalanta
Gianluigi A. Lopez,3,"Juventus, Al-Nassr, Lille"
Samuel E. Bianchi,2,"Napoli, West Ham United"
Ciro J. Esposito,2,"Schalke 04, Flamengo"
Tariq L. Rodriguez,5,"Newcastle United, Fenerbahce, Everton, Marseille, Atlanta United"
Chidi B. Greco,5,"Tottenham Hotspur, Celtic, Valencia, Feyenoord, BRAGA"
Ethan V. Garcia,6,"RB Leipzig, Everton, Benfica, Fiorentina, Manchester City, Boca Juniors"
Gavi L. Romano,4,"Chelsea, Marseille, PSV Eindhoven, São Paulo"
Tariq M. Wagner,7,"PSV Eindhoven, Fluminense, FC Porto, Bologna, West Ham United, Paris Saint-Germain, Galatasaray"
Stefan M. Moreau,3,"Newcastle United, AC Milan, Grêmio"
Kacper C. Perez,2,"West Ham United, VfL Wolfsburg"
Daniel S. Santos,6,"Lyon, Getafe, RB Leipzig, Grêmio, Benfica, Real Madrid"
Dries D. Martinez,4,"São Paulo, Eintracht Frankfurt, Nice, Besiktas"
João G. Visser,5,"Liverpool, Athletic Bilbao, Al-Hilal, West Ham United, Paris Saint-Germain"
Adrian A. Rojas,2,"RB Leipzig, Eintracht Frankfurt"
Nathan T. Bianchi,2,"West Ham United, Schalke 04"
Lukas D. Romano,5,"Villarreal, Santos, LA Galaxy, West Ham United, Real Betis"
Benjamin K. Laurent,3,"Boca Juniors, Atletico Madrid, Schalke 04"
Federico C. Esposito,2,"Benfica, Villarreal"
Jan L. Moreno,7,"Manchester United, River Plate, Corinthians, Getafe, Real Betis, LA Galaxy, Lyon"
Alexander T. Nieuwenhuis,4,"Athletic Bilbao, Napoli, Manchester City, Tottenham Hotspur"
Gavi M. Smit,7,"Atlanta United, Atalanta, Chelsea, Borussia Dortmund, Wolverhampton, Olympiacos, Al-Hilal"
Paul E. Diaz,1,Sporting CP
Gonçalo B. Schmidt,7,"Lyon, Al-Ahli, Feyenoord, BRAGA, Santos, AS Roma, Rangers"
Iker R. Brown,7,"Celtic, LAFC, Liverpool, Al-Hilal, Marseille, Chelsea, Torino"
Lukas N. Silva,4,"Palmeiras, AS Roma, Eintracht Frankfurt, Olympiacos"
Nathan E. Ramirez,5,"Fenerbahce, Rennes, BRAGA, São Paulo, Brighton & Hove Albion"
Louis T. Martinez,4,"Real Madrid, Dynamo Kyiv, Inter Miami, Getafe"
Elias B. Thomas,7,"Real Betis, Napoli, Marseille, Boca Juniors, Bayern Munich, Tottenham Hotspur, Bayer Leverkusen"
Bruno P. Simon,2,"Shakhtar Donetsk, West Ham United"
Kenji P. Ferrari,4,"Juventus, Besiktas, PSV Eindhoven, RB Leipzig"
Jakub P. Visser,5,"Villarreal, West Ham United, Bayern Munich, Palmeiras, Celtic"
Ivan G. Martinez,2,"Bayer Leverkusen, Atletico Madrid"
João H. Rodriguez,5,"Tottenham Hotspur, Newcastle United, Corinthians, Bayern Munich, Ajax"
Federico P. Ferrari,3,"BRAGA, Sporting CP, Valencia"
Luka F. Garcia,6,"LAFC, Torino, Corinthians, Schalke 04, FC Porto, Arsenal"
Amir B. Torres,3,"Getafe, Real Madrid, LAFC"
Hugo S. Müller,1,Manchester City
Jonas S. David,2,"Real Sociedad, Borussia Mönchengladbach"
Miklós P. De Jong,6,"Shakhtar Donetsk, Al-Hilal, LAFC, Besiktas, Rennes, Schalke 04"
Lorenzo R. Fischer,2,"BRAGA, Real Sociedad"
Jan D. Michel,6,"Barcelona, PSV Eindhoven, Manchester United, SS Lazio, Nice, Manchester City"
Sebastian T. Romano,2,"Rangers, RB Leipzig"
Federico V. Michel,4,"Olympiacos, West Ham United, Tottenham Hotspur, Galatasaray"
Nathan J. Wilson,1,AC Milan
Noah Ferrari,2,"Fluminense, Valencia"
Leonardo F. Greco,7,"PSV Eindhoven, LA Galaxy, West Ham United, Dynamo Kyiv, Manchester United, Everton, Sevilla"
Virgil L. De Bruyne,2,"Real Sociedad, Napoli"
Luka S. Hernandez,6,"Galatasaray, Borussia Mönchengladbach, Napoli, Borussia Dortmund, Arsenal, Barcelona"
Toby B. Hoffmann,7,"Paris Saint-Germain, AC Milan, Sporting CP, Fluminense, Torino, RB Leipzig, Marseille"
Lorenzo D. Flores,5,"Bayer Leverkusen, Monaco, Wolverhampton, Athletic Bilbao, Valencia"
Oluwaseun T. Becker,5,"Atlanta United, Rangers, Nice, Monaco, Galatasaray"
Lucas F. Leroy,2,"Borussia Mönchengladbach, Fenerbahce"
Eden T. Evans,7,"Al-Ittihad, Inter Milan, Lyon, Tottenham Hotspur, Chelsea, Manchester United, Atlanta United"
Virgil B. Bakker,3,"Rennes, Real Madrid, Grêmio"
Chidi E. Garcia,3,"Borussia Dortmund, Rangers, Monaco"
Tariq Martinez,6,"Torino, Corinthians, Rangers, Galatasaray, Ajax, Schalke 04"
Gianluigi E. Weber,5,"Al-Ahli, Real Sociedad, Paris Saint-Germain, LAFC, Al-Ittihad"
Ciro S. Wilson,5,"Newcastle United, Grêmio, Atletico Madrid, Valencia, LA Galaxy"
Cody M. Jansen,5,"Marseille, Galatasaray, São Paulo, Liverpool, Tottenham Hotspur"
Youssef K. Marino,1,Atletico Madrid
Ethan B. Garcia,1,Fenerbahce
Arthur J. Hernandez,1,Corinthians
Andrei B. Lopez,6,"Grêmio, Atletico Madrid, Sporting CP, West Ham United, Celtic, Inter Miami"
Kwame E. Roux,3,"Boca Juniors, Flamengo, RB Leipzig"
Jan C. Hernandez,4,"Feyenoord, Al-Hilal, Celtic, FC Porto"
Giorgio K. Marino,4,"São Paulo, Boca Juniors, Eintracht Frankfurt, Flamengo"
Pedri N. Rodriguez,5,"Fenerbahce, Shakhtar Donetsk, Manchester City, Real Sociedad, Ajax"
Luka P. Vasquez,6,"VfL Wolfsburg, Manchester City, PSV Eindhoven, Liverpool, Fenerbahce, AS Roma"
Mason H. Rojas,5,"Torino, West Ham United, Grêmio, Chelsea, Atlanta United"
Axel M. Vasquez,6,"Inter Miami, Villarreal, Newcastle United, Atletico Madrid, Borussia Dortmund, SS Lazio"
Axel T. Leroy,1,AS Roma
Romelu L. Dubois,1,AC Milan
Mateo P. Bertrand,3,"Getafe, Bologna, Santos"
Jan P. Rodriguez,7,"Bayern Munich, Barcelona, LAFC, Lyon, Nice, Olympiacos, SS Lazio"
Liam P. Ramirez,7,"Al-Ittihad, Ajax, Wolverhampton, Fiorentina, Lille, Flamengo, Manchester United"
Rafael T. Simon,4,"Liverpool, SS Lazio, Galatasaray, Corinthians"
Liam J. Wagner,4,"Palmeiras, Feyenoord, River Plate, AS Roma"
Samuel M. Evans,2,"Fiorentina, VfL Wolfsburg"
Sandro H. Vasquez,3,"PSV Eindhoven, Atletico Madrid, Schalke 04"
Noah T. Moreno,3,"Galatasaray, SS Lazio, Al-Hilal"
Carlos C. Schneider,3,"Juventus, Dynamo Kyiv, Atalanta"
Sandro G. Van Dijk,5,"Real Sociedad, São Paulo, FC Porto, Manchester United, Bayern Munich"
Maximilian R. Smit,7,"Arsenal, Manchester City, Inter Miami, Monaco, Inter Milan, Flamengo, Nice"
Felix D. Hernandez,3,"AS Roma, Wolverhampton, Real Betis"
Sven N. David,5,"Arsenal, Wolverhampton, Celtic, Real Betis, Galatasaray"
Diogo H. Schneider,7,"Marseille, BRAGA, Villarreal, Juventus, FC Porto, Getafe, Atletico Madrid"
Memphis T. Silva,4,"Real Madrid, Benfica, Al-Nassr, AC Milan"
Diego Leroy,5,"Athletic Bilbao, Corinthians, Real Sociedad, Liverpool, Arsenal"
Pedri M. Marino,5,"FC Porto, Sporting CP, Nice, Arsenal, Liverpool"
Ethan C. Schmidt,6,"Atalanta, Ajax, Feyenoord, Villarreal, Palmeiras, BRAGA"
Carlos P. Müller,5,"Valencia, Getafe, Benfica, Torino, Grêmio"
Igor R. Lopez,3,"VfL Wolfsburg, LAFC, Fenerbahce"
Nathan N. Garcia,4,"Manchester United, Galatasaray, Borussia Dortmund, Al-Ahli"
Memphis H. De Bruyne,7,"Athletic Bilbao, Real Sociedad, Newcastle United, Galatasaray, PSV Eindhoven, Grêmio, Real Madrid"
Alessandro H. Roux,5,"Fenerbahce, Al-Ittihad, Napoli, Shakhtar Donetsk, Marseille"
Amir C. Rossi,1,Manchester City
Miklós A. De Bruyne,5,"Eintracht Frankfurt, Monaco, Lille, Dynamo Kyiv, Fluminense"
Gavi E. Dubois,5,"Real Betis, Atalanta, Borussia Mönchengladbach, Torino, Al-Nassr"
Nathan T. Meyer,7,"Real Betis, Nice, Villarreal, Besiktas, Eintracht Frankfurt, Atalanta, VfL Wolfsburg"
Adrian J. Garcia,6,"Atalanta, Rennes, Bayern Munich, Arsenal, Corinthians, Palmeiras"
Dries N. Lopez,6,"Rennes, BRAGA, Bayer Leverkusen, Tottenham Hotspur, Ajax, Celtic"
Oluwaseun E. Dubois,5,"BRAGA, Brighton & Hove Albion, Real Madrid, Inter Miami, Atlanta United"
Mateo R. Visser,5,"Getafe, Valencia, Inter Milan, RB Leipzig, Manchester City"
João M. Meyer,4,"Getafe, Atlanta United, Lille, RB Leipzig"
Tiago R. Bakker,7,"VfL Wolfsburg, Manchester City, River Plate, RB Leipzig, SS Lazio, Wolverhampton, Eintracht Frankfurt"
Frenkie S. Rossi,4,"Manchester United, Benfica, Torino, Al-Nassr"
Arthur F. Moreau,6,"Shakhtar Donetsk, Inter Miami, Santos, Corinthians, Getafe, Atletico Madrid"
Lorenzo V. Thomas,3,"Manchester United, Shakhtar Donetsk, Getafe"
Leonardo S. Sanchez,3,"Schalke 04, Fluminense, Barcelona"
Bernardo J. Ramirez,3,"Aston Villa, Real Betis, Benfica"
Lorenzo J. Ramirez,2,"Borussia Mönchengladbach, LAFC"
Romelu T. Gomez,5,"Besiktas, Lille, BRAGA, Valencia, Real Sociedad"
Carlos V. Laurent,2,"Bologna, Palmeiras"
Jonas A. Roberts,6,"Nice, Bologna, Lyon, Chelsea, Bayer Leverkusen, Borussia Dortmund"
Dimitri F. Gonzales,2,"Aston Villa, River Plate"
Alessandro P. De Bruyne,4,"Brighton & Hove Albion, LA Galaxy, Tottenham Hotspur, River Plate"
Cody E. Nieuwenhuis,2,"LA Galaxy, Juventus"
Jonas A. Rodriguez,7,"Dynamo Kyiv, Fenerbahce, Corinthians, Inter Milan, Fluminense, Olympiacos, West Ham United"
Felix F. Ferrari,7,"Atalanta, Fiorentina, Flamengo, Santos, LA Galaxy, AS Roma, Corinthians"
Bernardo N. Lopez,7,"Al-Ittihad, Manchester United, Valencia, Chelsea, Napoli, Atlanta United, Arsenal"
Felix G. Van Dijk,7,"Al-Ittihad, Celtic, Eintracht Frankfurt, Napoli, Palmeiras, VfL Wolfsburg, Dynamo Kyiv"
Giorgio F. Schulz,3,"Besiktas, Manchester United, Ajax"
Stefan C. Marino,4,"Borussia Mönchengladbach, Nice, Real Madrid, Lille"
Kenji G. Schneider,4,"FC Porto, Real Betis, BRAGA, Atlanta United"
Kwame S. Van Dijk,1,Bayer Leverkusen
Lucas N. Rojas,2,"PSV Eindhoven, Liverpool"
Diego G. Leroy,5,"Feyenoord, Corinthians, AC Milan, SS Lazio, Shakhtar Donetsk"
Maximilian T. Lopez,3,"Benfica, Paris Saint-Germain, Lyon"
Gianluigi L. De Bruyne,1,River Plate
Pedri D. Meyer,4,"Paris Saint-Germain, Barcelona, Inter Miami, Benfica"
Santiago R. Santos,3,"Brighton & Hove Albion, Rennes, Rangers"
Cody P. Becker,2,"Getafe, Al-Hilal"
Igor L. Perez,3,"Wolverhampton, Al-Nassr, Everton"
Jakub S. Williams,6,"São Paulo, Atletico Madrid, Everton, Bologna, Getafe, West Ham United"
Virgil P. De Bruyne,4,"Schalke 04, Villarreal, Ajax, VfL Wolfsburg"
Gianluigi P. Jansen,4,"Fenerbahce, Fluminense, Inter Milan, Real Madrid"
Youssef Garcia,4,"Lyon, Athletic Bilbao, Real Betis, VfL Wolfsburg"
Hugo B. Martinez,4,"AS Roma, Newcastle United, Barcelona, Lille"
Tiago D. Torres,3,"FC Porto, VfL Wolfsburg, Monaco"
Arthur P. Visser,1,Torino
Mateo K. Hernandez,5,"Aston Villa, Celtic, River Plate, Arsenal, Al-Ahli"
Alessandro F. Visser,6,"Feyenoord, Celtic, Santos, Borussia Dortmund, Ajax, Barcelona"
Bruno P. Bakker,2,"Al-Nassr, Manchester City"
Virgil F. Thomas,4,"Villarreal, Brighton & Hove Albion, Atletico Madrid, Atlanta United"
Chidi J. Vasquez,4,"Rangers, Al-Hilal, Fenerbahce, Torino"
Julian V. Taylor,7,"Paris Saint-Germain, Atlanta United, Rangers, Al-Nassr, Marseille, Celtic, Arsenal"
Sandro Santos,7,"Bayer Leverkusen, Aston Villa, Atlanta United, Lyon, Fenerbahce, LAFC, Lille"
Kevin A. Rodriguez,4,"Villarreal, Inter Miami, Corinthians, Newcastle United"
Sebastian T. Taylor,7,"Fluminense, Chelsea, Celtic, Arsenal, Juventus, Al-Ahli, Barcelona"
Leonardo P. Müller,3,"Al-Hilal, Fluminense, Tottenham Hotspur"
Paul S. De Bruyne,5,"Sporting CP, Villarreal, Galatasaray, LA Galaxy, Atletico Madrid"
Elias P. De Bruyne,3,"LA Galaxy, Paris Saint-Germain, Juventus"
Josko R. Silva,6,"Celtic, FC Porto, Schalke 04, Al-Nassr, Lille, LA Galaxy"
Sandro P. Colombo,2,"Inter Miami, West Ham United"
Eden S. Smith,6,"Corinthians, Wolverhampton, Barcelona, São Paulo, LA Galaxy, Al-Ittihad"
Lucas J. Visser,5,"Borussia Dortmund, AS Roma, VfL Wolfsburg, Santos, Wolverhampton"
Hugo V. Fischer,3,"Flamengo, Napoli, RB Leipzig"
Gavi M. Roberts,4,"West Ham United, Benfica, Fiorentina, São Paulo"
Arthur H. Nieuwenhuis,2,"FC Porto, Paris Saint-Germain"
Leonardo P. Vasquez,2,"Besiktas, AS Roma"
Josko N. Fischer,3,"Grêmio, Al-Ittihad, PSV Eindhoven"
Nathan B. Bruno,4,"VfL Wolfsburg, Sporting CP, Olympiacos, Atletico Madrid"
Tiago G. Torres,3,"Flamengo, Al-Hilal, LA Galaxy"
Nicolas S. Bianchi,2,"Schalke 04, LA Galaxy"
Samuel De Jong,2,"Liverpool, Olympiacos"
Felix F. Hernandez,7,"Al-Ittihad, Benfica, Everton, Rennes, Manchester United, Dynamo Kyiv, AC Milan"
Cody J. Gomez,1,Liverpool
Dominik M. Colombo,7,"Everton, Napoli, LA Galaxy, River Plate, Getafe, RB Leipzig, Atletico Madrid"
